127.0.0.1, 2020-05-13 17:21:48, GET, /, HTTP/1.1, 303, 0.000456
127.0.0.1, 2020-05-13 17:21:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.027658
127.0.0.1, 2020-05-13 17:21:49, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000449
127.0.0.1, 2020-05-13 17:22:36, GET, /home, HTTP/1.1, 404, 0.000481
127.0.0.1, 2020-05-13 17:22:46, GET, /welcome/, HTTP/1.1, 200, 0.025867
127.0.0.1, 2020-05-13 17:22:46, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000418
127.0.0.1, 2020-05-13 17:22:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.028364
127.0.0.1, 2020-05-13 17:22:49, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000410
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/default/site, HTTP/1.1, 303, 0.244961
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/default/index, HTTP/1.1, 200, 0.138377
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.1, 200, 0.017281
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.1, 200, 0.016886
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.016972
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.1, 200, 0.018070
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.016381
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.1, 200, 0.021399
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000607
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001264
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000783
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000366
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000564
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000891
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000784
127.0.0.1, 2020-05-13 17:24:34, GET, /admin/static/_2.20.4/images/questions.png, HTTP/1.1, 200, 0.000658
127.0.0.1, 2020-05-13 17:25:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.035544
127.0.0.1, 2020-05-13 17:25:13, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000346
127.0.0.1, 2020-05-13 17:25:13, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000337
127.0.0.1, 2020-05-13 17:25:13, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002477
127.0.0.1, 2020-05-13 17:25:13, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001158
127.0.0.1, 2020-05-13 17:25:13, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000400
127.0.0.1, 2020-05-13 17:25:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000308
127.0.0.1, 2020-05-13 17:25:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000643
127.0.0.1, 2020-05-13 17:25:13, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000501
127.0.0.1, 2020-05-13 17:25:13, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000552
127.0.0.1, 2020-05-13 17:25:13, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000420
127.0.0.1, 2020-05-13 17:25:14, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000759
127.0.0.1, 2020-05-13 17:25:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000732
127.0.0.1, 2020-05-13 17:25:32, POST, /admin/default/index, HTTP/1.1, 303, 0.016201
127.0.0.1, 2020-05-13 17:25:32, GET, /admin/default/site, HTTP/1.1, 200, 0.138777
127.0.0.1, 2020-05-13 17:25:33, GET, /admin/static/_2.20.4/images/folder_locked.png, HTTP/1.1, 200, 0.000597
127.0.0.1, 2020-05-13 17:25:33, GET, /admin/static/_2.20.4/images/folder.png, HTTP/1.1, 200, 0.000368
127.0.0.1, 2020-05-13 17:25:33, GET, /admin/static/_2.20.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000632
127.0.0.1, 2020-05-13 17:25:33, POST, /admin/default/check_version, HTTP/1.1, 200, 0.520695
127.0.0.1, 2020-05-13 17:25:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.028615
127.0.0.1, 2020-05-13 17:25:39, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000384
127.0.0.1, 2020-05-13 17:25:41, GET, /admin/default/site, HTTP/1.1, 200, 0.034038
